City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Ust-Kut,RU,56.7938,105.7672,-1.57,96,33,1.95,scattered clouds
214,Les Escoumins,CA,48.1111,-69.0236,18.82,92,100,8.43,overcast clouds
215,Anloga,GH,5.7947,0.8973,80.89,77,15,9.71,few clouds
216,Mitu,CO,1.1983,-70.1733,71.71,99,100,2.3,overcast clouds
217,Lavrentiya,RU,65.5833,-171.0,24.53,86,99,9.24,overcast clouds
218,Lahij,YE,13.1667,44.5833,69.96,85,49,3.24,scattered clouds
219,Tambacounda,SN,13.7539,-13.7586,72.41,13,53,6.17,broken clouds
220,Laguna,US,38.421,-121.4238,55.18,47,0,0.0,clear sky
221,Longyearbyen,SJ,78.2186,15.6401,39.04,87,75,12.66,light intensity drizzle
222,Nouadhibou,MR,20.931,-17.0347,66.97,82,0,22.95,clear sky
223,Halifax,CA,44.6453,-63.5724,41.22,88,74,1.01,broken clouds
224,Katherine,AU,-14.4667,132.2667,89.92,58,40,3.44,scattered clouds
225,Faya,SA,18.3851,42.4509,56.44,71,2,2.62,clear sky
226,Fonte Boa,BR,-2.4959,-66.2662,77.31,86,97,2.55,overcast clouds
227,Izhma,RU,65.0083,53.9113,28.36,94,100,9.91,light snow
228,Coquimbo,CL,-29.9533,-71.3436,59.49,85,13,3.98,few clouds
229,Cairns,AU,-16.9167,145.7667,93.07,64,40,4.61,scattered clouds
230,Borba,BR,-4.3878,-59.5939,80.31,67,97,2.82,overcast clouds
231,Guerrero Negro,MX,27.9769,-114.0611,62.42,58,0,9.8,clear sky
232,Stornoway,GB,58.2093,-6.3865,48.16,84,100,19.57,light rain
233,Evensk,RU,61.95,159.2333,2.82,74,100,4.74,overcast clouds
234,Ormara,PK,25.2088,64.6357,77.31,79,2,0.83,clear sky
235,Tamandare,BR,-8.7597,-35.1047,76.33,82,100,6.69,overcast clouds
236,Kastamonu,TR,41.5,33.6667,48.94,83,99,1.95,overcast clouds
237,Okhotsk,RU,59.3833,143.3,8.37,65,100,4.85,overcast clouds
238,Tiksi,RU,71.6872,128.8694,-3.75,97,100,6.31,overcast clouds
239,Dikson,RU,73.5069,80.5464,-16.37,99,100,9.06,overcast clouds
240,Turkistan,KZ,43.0,68.0,45.21,88,100,8.52,overcast clouds
241,Daitari,IN,21.1,85.75,62.83,48,100,2.93,overcast clouds
242,Mayo,US,38.8876,-76.5119,42.51,76,0,5.75,clear sky
243,Duku,NG,11.2361,4.9073,72.64,29,97,5.99,overcast clouds
244,Ribeira Grande,PT,38.5167,-28.7,65.77,96,70,15.01,broken clouds
245,Faanui,PF,-16.4833,-151.75,79.05,77,100,6.89,overcast clouds
246,Mackay,AU,-21.15,149.2,92.68,70,4,17.07,clear sky
247,Ilulissat,GL,69.2167,-51.1,28.42,50,0,13.8,clear sky
248,Naze,JP,28.3667,129.4833,71.2,79,65,10.74,broken clouds
249,Kruisfontein,ZA,-34.0033,24.7314,50.88,79,0,6.46,clear sky
250,Alice Springs,AU,-23.7,133.8833,76.55,19,40,12.66,scattered clouds
251,Dolores,AR,-36.3132,-57.6792,70.65,52,95,6.93,overcast clouds
252,Adrar,MR,20.5022,-10.0711,64.69,48,0,7.61,clear sky
253,San Patricio,US,28.017,-97.5169,46.27,85,100,15.95,overcast clouds
254,Tasiilaq,GL,65.6145,-37.6368,37.56,63,100,13.49,overcast clouds
255,Kavaratti,IN,10.5669,72.642,80.51,51,33,3.11,scattered clouds
256,Potsdam,DE,52.3989,13.0657,33.06,92,68,6.76,broken clouds
257,Provideniya,RU,64.3833,-173.3,30.36,80,100,8.99,light shower snow
258,Bangkalan,ID,-7.0455,112.7351,84.15,71,34,5.03,scattered clouds
259,Lethem,GY,3.3803,-59.7968,76.68,83,75,6.33,light rain
260,Hokitika,NZ,-42.7167,170.9667,65.25,63,83,4.5,broken clouds
261,Lubao,PH,14.9167,120.55,80.92,81,100,11.1,overcast clouds
262,Hamilton,US,39.1834,-84.5333,32.23,60,100,17.27,overcast clouds
263,Praia,CV,14.9215,-23.5087,75.74,73,75,24.16,broken clouds
264,Rusape,ZW,-18.5278,32.1284,64.31,49,6,3.62,clear sky
265,Xai-Xai,MZ,-25.0519,33.6442,73.06,87,100,20.92,light rain
266,Ipu,BR,-4.3222,-40.7108,76.73,68,36,4.56,scattered clouds
267,Fort Nelson,CA,58.8053,-122.7002,21.29,92,100,1.97,overcast clouds
268,Korla,CN,41.7597,86.1469,37.08,43,76,7.92,broken clouds
269,Peniche,PT,39.3558,-9.3811,59.94,93,68,11.39,broken clouds
270,Barra Do Garcas,BR,-15.89,-52.2567,73.13,80,31,3.47,scattered clouds
271,Havoysund,NO,70.9963,24.6622,34.03,69,0,4.14,clear sky
272,Lincoln,US,40.8,-96.667,25.12,50,6,3.0,clear sky
273,Lucani,RS,43.8608,20.1381,46.85,99,100,2.28,light rain
274,Kiama,AU,-34.6833,150.8667,76.57,43,0,17.0,clear sky
275,Lososina,RU,48.9975,140.3106,40.03,71,100,16.73,overcast clouds
276,Pevek,RU,69.7008,170.3133,-14.17,99,100,7.67,overcast clouds
277,Betare Oya,CM,5.6,14.0833,67.64,55,100,3.44,overcast clouds
278,Lufilufi,WS,-13.8745,-171.5986,82.18,76,24,8.16,few clouds
279,Kaeo,NZ,-35.1,173.7833,65.32,92,91,14.16,light rain
280,Melong,CM,5.1218,9.9614,66.51,94,66,2.06,broken clouds
281,Kununurra,AU,-15.7667,128.7333,89.58,66,100,8.05,overcast clouds
282,Port Augusta,AU,-32.5,137.7667,72.05,27,7,19.35,clear sky
283,Bubaque,GW,11.2833,-15.8333,82.63,54,95,11.7,overcast clouds
284,Fare,PF,-16.7,-151.0167,78.75,79,86,8.99,overcast clouds
285,Arraial Do Cabo,BR,-22.9661,-42.0278,71.1,82,100,2.62,overcast clouds
286,Upata,VE,8.0086,-62.3989,74.19,98,84,3.58,broken clouds
287,Sao Filipe,CV,14.8961,-24.4956,77.02,66,89,15.23,overcast clouds
288,Kilindoni,TZ,-7.9139,39.6668,78.48,81,100,6.53,overcast clouds
289,Watsa,CD,3.0372,29.5355,61.81,96,79,1.97,broken clouds
290,Washington,US,47.5001,-120.5015,30.33,82,78,2.13,broken clouds
291,Turukhansk,RU,65.8167,87.9833,-3.82,92,100,6.91,overcast clouds
292,Maraa,BR,-1.8333,-65.3667,74.12,95,99,2.62,overcast clouds
293,Lata,PT,40.1629,-8.3327,55.81,94,100,2.26,overcast clouds
294,Correntina,BR,-13.3433,-44.6367,67.48,93,100,3.29,light rain
295,Jiazi,CN,22.8779,116.067,76.41,71,60,10.87,broken clouds
296,Orlik,RU,52.5178,99.825,-6.93,92,36,2.21,scattered clouds
297,Coihaique,CL,-45.5752,-72.0662,43.41,70,0,4.61,clear sky
298,Bluff,NZ,-46.6,168.3333,58.8,85,56,16.11,broken clouds
299,Sri Aman,MY,1.2376,111.4621,83.77,71,99,3.94,overcast clouds
300,Vestmannaeyjar,IS,63.4427,-20.2734,45.82,79,15,22.32,few clouds
301,Kunnamangalam,IN,11.3046,75.8777,72.23,69,87,4.07,overcast clouds
302,San Pedro,PH,14.35,121.0167,85.32,77,99,10.47,overcast clouds
303,Lahat,ID,-3.8,103.5333,82.92,67,100,1.63,overcast clouds
304,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,87,99,8.52,overcast clouds
305,Chicama,PE,-7.8447,-79.1469,66.74,83,19,4.61,few clouds
306,Albanel,CA,48.8832,-72.4487,26.74,80,100,9.22,overcast clouds
307,Salekhard,RU,66.53,66.6019,-9.69,95,71,2.04,broken clouds
308,Yenagoa,NG,4.9247,6.2642,75.43,92,96,3.36,overcast clouds
309,Kovdor,RU,67.5662,30.4758,22.03,95,100,2.89,overcast clouds
310,Sirsilla,IN,18.3833,78.8333,61.61,54,87,3.89,overcast clouds
311,Abha,SA,18.2164,42.5053,52.05,62,0,0.0,clear sky
312,Bundaberg,AU,-24.85,152.35,83.21,76,98,8.99,overcast clouds
313,Comendador,DO,18.8775,-71.7028,69.91,83,41,2.26,scattered clouds
314,Benito Juarez,MX,19.385,-99.165,63.95,67,75,9.22,broken clouds
315,Tyumentsevo,RU,53.3224,81.498,7.52,89,95,9.82,overcast clouds
316,Disa,IN,24.25,72.1667,65.86,41,0,4.54,clear sky
317,Nanchang,CN,28.6833,115.8833,64.98,70,99,4.07,overcast clouds
318,Kahului,US,20.8947,-156.47,82.42,69,20,24.16,few clouds
319,Qasigiannguit,GL,68.8193,-51.1922,28.65,81,8,4.74,clear sky
320,Aksu,CN,41.1231,80.2644,37.26,35,97,5.17,overcast clouds
321,Muscat,OM,23.6139,58.5922,76.77,48,0,3.44,clear sky
