City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
219,Tambacounda,SN,72.41,broken clouds,13.7539,-13.7586,
224,Katherine,AU,89.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
226,Fonte Boa,BR,77.31,overcast clouds,-2.4959,-66.2662,
229,Cairns,AU,93.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
230,Borba,BR,80.31,overcast clouds,-4.3878,-59.5939,Hotel da Amazônia
234,Ormara,PK,77.31,clear sky,25.2088,64.6357,Kenara Colony House for Rent
235,Tamandare,BR,76.33,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
243,Duku,NG,72.64,overcast clouds,11.2361,4.9073,
245,Faanui,PF,79.05,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
246,Mackay,AU,92.68,clear sky,-21.15,149.2,International Lodge Motel
248,Naze,JP,71.2,broken clouds,28.3667,129.4833,Shishime Hotel
250,Alice Springs,AU,76.55,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
251,Dolores,AR,70.65,overcast clouds,-36.3132,-57.6792,Apart Hotel - Arianos
255,Kavaratti,IN,80.51,scattered clouds,10.5669,72.642,Green leaf
258,Bangkalan,ID,84.15,scattered clouds,-7.0455,112.7351,Pondok Pesantren Tahfidzil Qur'an Al Asror
259,Lethem,GY,76.68,light rain,3.3803,-59.7968,Savannah Inn
261,Lubao,PH,80.92,overcast clouds,14.9167,120.55,Hacienda Gracia
263,Praia,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
265,Xai-Xai,MZ,73.06,light rain,-25.0519,33.6442,Complexo da Familia
266,Ipu,BR,76.73,scattered clouds,-4.3222,-40.7108,Our hostel Corner
270,Barra Do Garcas,BR,73.13,scattered clouds,-15.89,-52.2567,Pousada Tropical
274,Kiama,AU,76.57,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
278,Lufilufi,WS,82.18,few clouds,-13.8745,-171.5986,Leuaina Beach Resort
281,Kununurra,AU,89.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
282,Port Augusta,AU,72.05,clear sky,-32.5,137.7667,Majestic Oasis Apartments
283,Bubaque,GW,82.63,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
284,Fare,PF,78.75,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
285,Arraial Do Cabo,BR,71.1,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
286,Upata,VE,74.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
287,Sao Filipe,CV,77.02,overcast clouds,14.8961,-24.4956,Hotel Xaguate
288,Kilindoni,TZ,78.48,overcast clouds,-7.9139,39.6668,Bustani B&B
292,Maraa,BR,74.12,overcast clouds,-1.8333,-65.3667,
295,Jiazi,CN,76.41,broken clouds,22.8779,116.067,Hotel Jin Hao
299,Sri Aman,MY,83.77,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
301,Kunnamangalam,IN,72.23,overcast clouds,11.3046,75.8777,HOTEL MONAD
302,San Pedro,PH,85.32,overcast clouds,14.35,121.0167,Palines Apartment and Guesthouse
303,Lahat,ID,82.92,overcast clouds,-3.8,103.5333,Bukit Serelo Hotel
308,Yenagoa,NG,75.43,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
312,Bundaberg,AU,83.21,overcast clouds,-24.85,152.35,Takalvan Motel
318,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
321,Muscat,OM,76.77,clear sky,23.6139,58.5922,Mutrah Hotel
328,Port Blair,IN,82.26,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
329,Atambua,ID,77.2,overcast clouds,-9.1061,124.8925,Ros Muskanan
330,Quatre Cocos,MU,70.09,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
338,Yulara,AU,76.73,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
339,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
340,Buala,SB,83.5,light rain,-8.145,159.5921,Maringe Lagoon Lodge
341,Doha,QA,76.98,clear sky,25.2867,51.5333,Mövenpick Doha
344,Harper,LR,71.87,light rain,4.375,-7.7169,Screensaver
346,Ballina,AU,88.79,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
348,Lucea,JM,77.86,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
351,Sinazongwe,ZM,77.81,clear sky,-17.2614,27.4618,Lakeview Lodge
352,Madimba,TZ,75.78,overcast clouds,-10.4,40.3333,
353,Dunmore Town,BS,79.16,overcast clouds,25.5,-76.65,Coral Sands Hotel
354,Cabo San Lucas,MX,77.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
